Palabra,Numero
Im,6
sleeping,2
in,2
the,15
bath,2
tub,2
My,1
eyes,1
The,1
goggles,1
do,3
nothing,1
Thats,4
where,4
I,9
saw,2
leprechaunHe,2
told,2
me,7
to,12
burn,2
things,2
Eat,1
my,6
shorts,1
Nothing,1
you,5
say,1
can,2
upset,1
us,2
Were,1
MTV,1
generation,1
Cant,1
we,2
have,1
one,1
meeting,1
that,1
doesnt,1
end,1
with,1
digging,1
up,1
a,10
corpse,1
Why,1
are,2
pleople,1
avoiding,1
Does,1
withered,1
face,1
remind,1
of,2
grim,1
specter,1
death,1
Oh,3
Yeah,1
believe,1
children,1
future,1
Unless,1
stop,1
them,1
now,1
dont,3
want,2
sound,1
like,3
killjoy,1
but,1
becuase,3
this,3
is,7
not,1
taste,1
think,2
anyone,1
else,1
should,1
be,2
allowed,1
enjoy,1
it,3
Me,1
fail,1
English,1
unpossible,1
Marriage,2
coffin,2
and,2
each,2
kid,2
another,2
nail,2
Hi,1
Super,1
Nintendo,1
Chalmers,1
wow,1
windows,1
could,1
afford,1
place,1
Hello,2
Simpson,2
riding,2
bus,2
today,2
Mother,2
hid,2
car,2
keys,2
punish,2
for,2
talking,2
woman,2
on,2
phone,2
She,2
was,2
right,2
Hey,1
chief,1
here,1
Bake,1
him,1
away,1
toys,1
Thank,1
Come,1
again,1
Ahh,1
Sweet,1
liquor,1
eases,1
pain,1
boy,1
sleep,1
viking,1
Gah,1
stupid,1
sexy,1
Flanders,1
For,1
once,1
maybe,1
someone,1
will,2
call,1
sir,1
without,1
adding,1
Youre,2
making,1
scene,1
turning,1
into,1
criminal,1
when,1
all,1
petty,1
thug,1
And,1
snack,1
holder,1
put,1
beverage,1
or,1
if,1
cupcake,1
